Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper
object,BERT,1024,the_1,61.10204082,58.65,61.18085168,63.70918339
object,BERT,1024,lawyers,58.254,55.96110413,58.242487680000004,60.68699415
object,BERT,1024,questioned,64.678,62.31955853,64.68175499,66.8578882
object,BERT,1024,the_2,65.778,62.94965,65.6722464,68.1985049
object,BERT,1024,judge,71.334,68.88921099,71.31488541,73.52699057
object,BERT,1024_1024_1024,the_1,25.1902439,21.20600155,25.15842969,28.89197304
object,BERT,1024_1024_1024,lawyers,24.68085106,21.52775476,24.6388738,27.863125
object,BERT,1024_1024_1024,questioned,31.34693878,28.23237595,31.30483128,34.21932471
object,BERT,1024_1024_1024,the_2,29.21489362,25.98970655,29.2838184,32.83541132
object,BERT,1024_1024_1024,judge,35.266,31.72237956,35.33157324,38.66539431
object,BERT,20_20_20,the_1,51.766,50.37883731,51.77166091,53.20397569
object,BERT,20_20_20,lawyers,48.782,47.27846108,48.79520373,50.27783333
object,BERT,20_20_20,questioned,49.934,47.77234946,49.94716142,52.0022828
object,BERT,20_20_20,the_2,54.196,51.44095263,54.19796449,56.64164905
object,BERT,20_20_20,judge,61.31,59.44651793,61.32233988,63.33063593
object,ELMo,1024,the_1,7.260869565,6.424652778,7.254273788,8.250288462
object,ELMo,1024,lawyers,13.60952381,11.22816964,13.66061799,16.08216387
object,ELMo,1024,questioned,51.872,48.71245098,51.86099367,54.80820557
object,ELMo,1024,the_2,55.126,52.38030543,55.13960249,58.22809462
object,ELMo,1024,judge,61.428,58.2999,61.3005739,64.32832564
object,ELMo,1024_1024_1024,the_1,5.9,5.9,5.9,5.9
object,ELMo,1024_1024_1024,lawyers,14.68888889,11.97479167,14.66357919,17.30071429
object,ELMo,1024_1024_1024,questioned,20.73902439,18.21424107,20.82037804,23.74009375
object,ELMo,1024_1024_1024,the_2,23.4,19.80985969,23.45302846,27.42051136
object,ELMo,1024_1024_1024,judge,32.832,30.09278084,32.8605382,35.54429087
object,ELMo,20_20_20,the_1,19.5106383,18.16728359,19.50239737,20.81027998
object,ELMo,20_20_20,lawyers,15.20204082,14.63727005,15.19609119,15.79139431
object,ELMo,20_20_20,questioned,41.022,39.69972222,41.04490726,42.4001875
object,ELMo,20_20_20,the_2,62.618,60.59370217,62.64787471,64.89635766
object,ELMo,20_20_20,judge,62.478,60.28816964,62.47112448,64.73149444
object,GPT,1024,the_1,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024,lawyers,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024,questioned,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024,the_2,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024,judge,62.902,60.51960261,62.887822,65.61796614
object,GPT,1024_1024_1024,the_1,3.818,3.599947917,3.814219332,4.049044118
object,GPT,1024_1024_1024,lawyers,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024_1024_1024,questioned,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024_1024_1024,the_2,3.308,3.301886792,3.307920304,3.316424129
object,GPT,1024_1024_1024,judge,26.09795918,23.46258293,26.13746866,29.17349576
object,GPT,20_20_20,the_1,3.736,3.57675496,3.745418568,3.920028846
object,GPT,20_20_20,lawyers,3.308,3.301886792,3.307920304,3.316424129
object,GPT,20_20_20,questioned,3.308,3.301886792,3.307920304,3.316424129
object,GPT,20_20_20,the_2,3.308,3.301886792,3.307920304,3.316424129
object,GPT,20_20_20,judge,54.414,52.59266177,54.4503275,56.13532819
subject,BERT,1024,the_1,59.37,57.16269597,59.38199462,61.66072973
subject,BERT,1024,lawyers,65.796,63.36945874,65.8203316,68.12426176
subject,BERT,1024,questioned,63.102,60.5127243,63.01974756,65.55941467
subject,BERT,1024,the_2,59.61020408,56.58131944,59.59070851,62.21906654
subject,BERT,1024,judge,60.528,58.20548611,60.62252962,62.87521684
subject,BERT,1024_1024_1024,the_1,29.86590909,26.61419453,29.88421352,33.17186047
subject,BERT,1024_1024_1024,lawyers,32.87959184,29.69912162,32.842717,36.13970773
subject,BERT,1024_1024_1024,questioned,25.73617021,22.43836119,25.74081452,29.04040625
subject,BERT,1024_1024_1024,the_2,26.15116279,22.35977451,26.12879096,29.90821429
subject,BERT,1024_1024_1024,judge,27.41875,24.61544718,27.41441743,30.26950089
subject,BERT,20_20_20,the_1,57.17,55.76567441,57.15803446,58.52347391
subject,BERT,20_20_20,lawyers,62.418,59.975119050000004,62.44784822,64.93450399
subject,BERT,20_20_20,questioned,52.29387755,50.11481781,52.22873438,54.08611309
subject,BERT,20_20_20,the_2,48.822,47.43231725,48.81405189,50.28628695
subject,BERT,20_20_20,judge,46.686,44.92594048,46.65376421,48.3021274
subject,ELMo,1024,the_1,30.228,27.57214286,30.22288732,33.24366521
subject,ELMo,1024,lawyers,57.772,55.42086957,57.76876452,60.07147619
subject,ELMo,1024,questioned,64.992,62.74553128,65.01224713,67.1964135
subject,ELMo,1024,the_2,29.7877551,26.57021336,29.84351179,32.89737551
subject,ELMo,1024,judge,17.42916667,15.07988776,17.39054852,19.65720365
subject,ELMo,1024_1024_1024,the_1,12.52941176,10.60314516,12.52963921,14.82436975
subject,ELMo,1024_1024_1024,lawyers,35.318,32.6321,35.27278234,37.76809726
