Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper,Target
animacy,BERT,1024,the_1,98.5,98.1,98.5,98.8,object
animacy,BERT,1024,lawyers,99.29,99.23,99.29,99.34,object
animacy,BERT,1024,questioned,99.34,99.08,99.33,99.54,object
animacy,BERT,1024,the_2,99.96,99.94,99.96,99.98,object
animacy,BERT,1024,judge,100,100,100,100,object
animacy,BERT,1024_1024_1024,the_1,98.73,98.1,98.74,99.2,object
animacy,BERT,1024_1024_1024,lawyers,97.4,97.4,97.4,97.4,object
animacy,BERT,1024_1024_1024,questioned,97.4,96.9,97.39,98.1,object
animacy,BERT,1024_1024_1024,the_2,99.98,99.93,99.98,100,object
animacy,BERT,1024_1024_1024,judge,100,100,100,100,object
animacy,BERT,20_20_20,the_1,98.23,98.1,98.23,98.32,object
animacy,BERT,20_20_20,lawyers,98.74,98.6,98.74,98.9,object
animacy,BERT,20_20_20,questioned,98.53,98.39,98.53,98.7,object
animacy,BERT,20_20_20,the_2,99.94,99.92,99.94,99.96,object
animacy,BERT,20_20_20,judge,100,99.99,100,100,object
animacy,ELMo,1024,the_1,97.27,96.97,97.27,97.72,object
animacy,ELMo,1024,lawyers,84.57,77.8,84.88,97.1,object
animacy,ELMo,1024,questioned,99.96,99.9,99.96,100,object
animacy,ELMo,1024,the_2,100,100,100,100,object
animacy,ELMo,1024,judge,99.99,99.98,99.99,100,object
animacy,ELMo,1024_1024_1024,the_1,96.33,95.54,96.34,96.8,object
animacy,ELMo,1024_1024_1024,lawyers,94,94,94,94,object
animacy,ELMo,1024_1024_1024,questioned,99.8,99.8,99.8,99.8,object
animacy,ELMo,1024_1024_1024,the_2,100,100,100,100,object
animacy,ELMo,1024_1024_1024,judge,99.61,98.91,99.61,100,object
animacy,ELMo,20_20_20,the_1,98.26,98.1,98.26,98.41,object
animacy,ELMo,20_20_20,lawyers,93.58,90.43,93.59,96.19,object
animacy,ELMo,20_20_20,questioned,99.75,99.56,99.75,99.92,object
animacy,ELMo,20_20_20,the_2,99.24,98.56,99.25,99.83,object
animacy,ELMo,20_20_20,judge,98.87,98.19,98.88,99.57,object
animacy,GLoVe,1024,the_1,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,lawyers,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,questioned,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,the_2,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024,judge,82.18,75.82,82.07,88.51,object
animacy,GLoVe,1024_1024_1024,the_1,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,lawyers,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,questioned,51.19,51.16,51.19,51.2,object
animacy,GLoVe,1024_1024_1024,the_2,51.2,51.2,51.2,51.2,object
animacy,GLoVe,1024_1024_1024,judge,66.82,60.62,66.82,73.11,object
animacy,GLoVe,20_20_20,the_1,51.2,51.2,51.2,51.2,object
animacy,GLoVe,20_20_20,lawyers,53.58,52.96,53.58,54.18,object
animacy,GLoVe,20_20_20,questioned,51.2,51.2,51.2,51.21,object
animacy,GLoVe,20_20_20,the_2,51.2,51.2,51.2,51.2,object
animacy,GLoVe,20_20_20,judge,72.61,66.3,72.7,79.43,object
animacy,GPT,1024,the_1,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,lawyers,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,questioned,51.3,51.2,51.3,51.46,object
animacy,GPT,1024,the_2,51.2,51.2,51.2,51.2,object
animacy,GPT,1024,judge,78.4,72.41,78.51,84.17,object
animacy,GPT,1024_1024_1024,the_1,51.2,51.2,51.2,51.2,object
animacy,GPT,1024_1024_1024,lawyers,51.2,51.2,51.2,51.2,object
animacy,GPT,1024_1024_1024,questioned,51.27,51.13,51.28,51.53,object
animacy,GPT,1024_1024_1024,the_2,51.23,51.13,51.23,51.36,object
animacy,GPT,1024_1024_1024,judge,63.25,58.04,63.26,69.4,object
animacy,GPT,20_20_20,the_1,51.2,51.2,51.2,51.2,object
animacy,GPT,20_20_20,lawyers,52.19,51.83,52.18,52.54,object
animacy,GPT,20_20_20,questioned,51.71,51.39,51.71,52.04,object
animacy,GPT,20_20_20,the_2,51.84,51.48,51.84,52.23,object
animacy,GPT,20_20_20,judge,77.75,72.18,77.76,82.93,object
gender,BERT,1024,the_1,62.5,62.5,62.5,62.5,object
gender,BERT,1024,lawyers,71.45,70.6,71.43,72.3,object
gender,BERT,1024,questioned,75.8,75.8,75.8,75.8,object
gender,BERT,1024,the_2,81.38,78.65,81.47,85.2,object
gender,BERT,1024,judge,90.25,89.06,90.29,91.53,object
gender,BERT,1024_1024_1024,the_1,62.5,62.5,62.5,62.5,object
gender,BERT,1024_1024_1024,lawyers,71.45,70.6,71.43,72.3,object
gender,BERT,1024_1024_1024,questioned,75.8,75.8,75.8,75.8,object
gender,BERT,1024_1024_1024,the_2,79.8,79.8,79.8,79.8,object
gender,BERT,1024_1024_1024,judge,90.25,89.06,90.29,91.53,object
gender,BERT,20_20_20,the_1,67.74,66.96,67.76,68.55,object
gender,BERT,20_20_20,lawyers,77.73,76.91,77.72,78.49,object
gender,BERT,20_20_20,questioned,80.04,79.26,80.06,80.75,object
gender,BERT,20_20_20,the_2,81.44,80.9,81.44,81.95,object
gender,BERT,20_20_20,judge,91.11,90.66,91.11,91.54,object
gender,ELMo,1024,the_1,63.64,63.19,63.63,64.03,object
gender,ELMo,1024,lawyers,63.69,62.61,63.72,64.88,object
