Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper
object,BERT,1024,the_1,61.1,58.65,61.18,63.71
object,BERT,1024,lawyers,58.25,55.96,58.24,60.69
object,BERT,1024,questioned,64.68,62.32,64.68,66.86
object,BERT,1024,the_2,65.78,62.95,65.67,68.2
object,BERT,1024,judge,71.33,68.89,71.31,73.53
object,BERT,1024_1024_1024,the_1,25.19,21.21,25.16,28.89
object,BERT,1024_1024_1024,lawyers,24.68,21.53,24.64,27.86
object,BERT,1024_1024_1024,questioned,31.35,28.23,31.3,34.22
object,BERT,1024_1024_1024,the_2,29.21,25.99,29.28,32.84
object,BERT,1024_1024_1024,judge,35.27,31.72,35.33,38.67
object,BERT,20_20_20,the_1,51.77,50.38,51.77,53.2
object,BERT,20_20_20,lawyers,48.78,47.28,48.8,50.28
object,BERT,20_20_20,questioned,49.93,47.77,49.95,52
object,BERT,20_20_20,the_2,54.2,51.44,54.2,56.64
object,BERT,20_20_20,judge,61.31,59.45,61.32,63.33
object,ELMo,1024,the_1,7.26,6.42,7.25,8.25
object,ELMo,1024,lawyers,13.61,11.23,13.66,16.08
object,ELMo,1024,questioned,51.87,48.71,51.86,54.81
object,ELMo,1024,the_2,55.13,52.38,55.14,58.23
object,ELMo,1024,judge,61.43,58.3,61.3,64.33
object,ELMo,1024_1024_1024,the_1,5.9,5.9,5.9,5.9
object,ELMo,1024_1024_1024,lawyers,14.69,11.97,14.66,17.3
object,ELMo,1024_1024_1024,questioned,20.74,18.21,20.82,23.74
object,ELMo,1024_1024_1024,the_2,23.4,19.81,23.45,27.42
object,ELMo,1024_1024_1024,judge,32.83,30.09,32.86,35.54
object,ELMo,20_20_20,the_1,19.51,18.17,19.5,20.81
object,ELMo,20_20_20,lawyers,15.2,14.64,15.2,15.79
object,ELMo,20_20_20,questioned,41.02,39.7,41.04,42.4
object,ELMo,20_20_20,the_2,62.62,60.59,62.65,64.9
object,ELMo,20_20_20,judge,62.48,60.29,62.47,64.73
object,GLoVe,1024,the_1,3.27,3.21,3.28,3.36
object,GLoVe,1024,lawyers,26.62,25.25,26.61,27.91
object,GLoVe,1024,questioned,3.77,3.68,3.77,3.86
object,GLoVe,1024,the_2,3.32,3.23,3.32,3.42
object,GLoVe,1024,judge,27.78,26.39,27.78,29.1
object,GLoVe,1024_1024_1024,the_1,3.62,3.52,3.62,3.72
object,GLoVe,1024_1024_1024,lawyers,25.31,22.13,25.32,28.71
object,GLoVe,1024_1024_1024,questioned,3.53,3.43,3.53,3.63
object,GLoVe,1024_1024_1024,the_2,3.75,3.63,3.75,3.87
