Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper,Target
animacy,BERT,1024,the_1,99.31,99.13,99.32,99.45,object
animacy,BERT,1024,lawyers,98.15,97.62,98.15,98.7,object
animacy,BERT,1024,questioned,98.1,97.9,98.1,98.2,object
animacy,BERT,1024,the_2,98.03,97.77,98.03,98.32,object
animacy,BERT,1024,judge,100,100,100,100,object
animacy,BERT,1024_1024_1024,the_1,99,98.8,99.01,99.2,object
animacy,BERT,1024_1024_1024,lawyers,98.15,97.62,98.15,98.7,object
animacy,BERT,1024_1024_1024,questioned,98.1,97.9,98.1,98.2,object
animacy,BERT,1024_1024_1024,the_2,98.03,97.77,98.03,98.32,object
animacy,BERT,1024_1024_1024,judge,100,100,100,100,object
animacy,BERT,20_20_20,the_1,99.29,99.2,99.29,99.36,object
animacy,BERT,20_20_20,lawyers,97.96,97.84,97.96,98.08,object
animacy,BERT,20_20_20,questioned,98.22,98.15,98.22,98.29,object
animacy,BERT,20_20_20,the_2,97.83,97.73,97.83,97.94,object
animacy,BERT,20_20_20,judge,100,100,100,100,object
animacy,ELMo,1024,the_1,86.95,86.3,86.95,87.6,object
animacy,ELMo,1024,lawyers,85.9,85.9,85.9,85.9,object
animacy,ELMo,1024,questioned,95.28,94.8,95.29,96.1,object
animacy,ELMo,1024,the_2,99.31,99.03,99.31,99.52,object
animacy,ELMo,1024,judge,100,100,100,100,object
animacy,ELMo,1024_1024_1024,the_1,86.95,86.3,86.95,87.6,object
animacy,ELMo,1024_1024_1024,lawyers,85.9,85.9,85.9,85.9,object
animacy,ELMo,1024_1024_1024,questioned,94.7,93.83,94.7,95.4,object
animacy,ELMo,1024_1024_1024,the_2,99.1,98.9,99.1,99.3,object
animacy,ELMo,1024_1024_1024,judge,100,100,100,100,object
animacy,ELMo,20_20_20,the_1,86.66,86.25,86.67,87.12,object
animacy,ELMo,20_20_20,lawyers,86.54,84.37,86.52,88.35,object
animacy,ELMo,20_20_20,questioned,95.8,95.64,95.79,95.94,object
animacy,ELMo,20_20_20,the_2,99.26,99.16,99.26,99.34,object
animacy,ELMo,20_20_20,judge,99.11,98.32,99.11,99.8,object
animacy,GLoVe,1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,lawyers,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,questioned,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,the_2,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,judge,83.37,76.9,83.37,89.5,object
animacy,GLoVe,1024_1024_1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,lawyers,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,questioned,53.81,53.8,53.81,53.83,object
animacy,GLoVe,1024_1024_1024,the_2,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,judge,71.36,65.35,71.33,77.79,object
animacy,GLoVe,20_20_20,the_1,53.8,53.8,53.8,53.8,object
animacy,GLoVe,20_20_20,lawyers,54.63,54.32,54.62,54.96,object
animacy,GLoVe,20_20_20,questioned,53.79,53.74,53.79,53.83,object
animacy,GLoVe,20_20_20,the_2,53.8,53.8,53.8,53.8,object
animacy,GLoVe,20_20_20,judge,79.09,72.94,79.15,85.1,object
animacy,GPT,1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GPT,1024,lawyers,53.81,53.8,53.81,53.82,object
animacy,GPT,1024,questioned,53.72,53.52,53.72,53.8,object
animacy,GPT,1024,the_2,53.81,53.79,53.81,53.84,object
animacy,GPT,1024,judge,87.06,81.36,87.11,92.48,object
animacy,GPT,1024_1024_1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GPT,1024_1024_1024,lawyers,53.8,53.8,53.8,53.8,object
animacy,GPT,1024_1024_1024,questioned,53.8,53.8,53.8,53.8,object
animacy,GPT,1024_1024_1024,the_2,53.83,53.77,53.83,53.91,object
