Task,Encoder,Classifier,Probed Word,Accuracy,ci_lower,mean,ci_upper,Target
animacy,BERT,1024,judge,100,100,100,100,object
animacy,BERT,1024,lawyers,98.15,97.62222222,98.14532321,98.70019231,object
animacy,BERT,1024,questioned,98.1,97.9,98.09943512,98.2,object
animacy,BERT,1024,the_1,99.31428571,99.13297619,99.31766668,99.45,object
animacy,BERT,1024,the_2,98.025,97.76642857,98.02501169,98.31666667,object
animacy,BERT,1024_1024_1024,judge,100,100,100,100,object
animacy,BERT,1024_1024_1024,lawyers,98.15,97.62222222,98.14532321,98.70019231,object
animacy,BERT,1024_1024_1024,questioned,98.1,97.9,98.09943512,98.2,object
animacy,BERT,1024_1024_1024,the_1,99,98.8,99.00654901,99.2,object
animacy,BERT,1024_1024_1024,the_2,98.025,97.76642857,98.02501169,98.31666667,object
animacy,BERT,20_20_20,judge,100,100,100,100,object
animacy,BERT,20_20_20,lawyers,97.96086957,97.83997222,97.95765809,98.08152778,object
animacy,BERT,20_20_20,questioned,98.22222222,98.15195,98.22094695,98.29231481,object
animacy,BERT,20_20_20,the_1,99.29354839,99.1999359,99.29366912,99.3643165,object
animacy,BERT,20_20_20,the_2,97.82692308,97.73123798,97.82681109,97.93601667,object
animacy,ELMo,1024,judge,100,100,100,100,object
animacy,ELMo,1024,lawyers,85.9,85.9,85.9,85.9,object
animacy,ELMo,1024,questioned,95.275,94.8,95.2865485,96.1,object
animacy,ELMo,1024,the_1,86.95,86.3,86.94800233,87.6,object
animacy,ELMo,1024,the_2,99.305,99.03325,99.30947289,99.52383929,object
animacy,ELMo,1024_1024_1024,judge,100,100,100,100,object
animacy,ELMo,1024_1024_1024,lawyers,85.9,85.9,85.9,85.9,object
animacy,ELMo,1024_1024_1024,questioned,94.7,93.83333333,94.70412568,95.4,object
animacy,ELMo,1024_1024_1024,the_1,86.95,86.3,86.94800233,87.6,object
animacy,ELMo,1024_1024_1024,the_2,99.1,98.9,99.10222828,99.3,object
animacy,ELMo,20_20_20,judge,99.11428571,98.32168176,99.11120834,99.80374076,object
animacy,ELMo,20_20_20,lawyers,86.54333333,84.36554348,86.52002989,88.35045,object
animacy,ELMo,20_20_20,questioned,95.7952381,95.64371394,95.79490848,95.93888889,object
animacy,ELMo,20_20_20,the_1,86.65882353,86.24661111,86.66886871,87.12122076,object
animacy,ELMo,20_20_20,the_2,99.25555556,99.15995161,99.25543365,99.34444444,object
animacy,GLoVe,1024,judge,83.368,76.9,83.37219715,89.50362069,object
animacy,GLoVe,1024,lawyers,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,questioned,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024,the_2,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,judge,71.356,65.35,71.33012405,77.78846154,object
animacy,GLoVe,1024_1024_1024,lawyers,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,questioned,53.81,53.8,53.80998917,53.82909534,object
animacy,GLoVe,1024_1024_1024,the_1,53.8,53.8,53.8,53.8,object
animacy,GLoVe,1024_1024_1024,the_2,53.8,53.8,53.8,53.8,object
animacy,GLoVe,20_20_20,judge,79.092,72.9434125,79.15001515,85.10381,object
animacy,GLoVe,20_20_20,lawyers,54.632,54.31772807,54.62386825,54.96123227,object
animacy,GLoVe,20_20_20,questioned,53.792,53.744,53.79287798,53.83157895,object
